Date,Store_ID,Product_ID,Units_Sold,Demand_Forecast,Discount,Weather_Condition,Holiday/Promotion,Region,Competitor_Pricing,Seasonality
2022-01-01,S003,P0003,77,75.04,0.10,Sunny,1,South,57.16,Spring
2022-01-01,S003,P0004,31,42.99,0.20,Rainy,1,South,93.60,Winter
2022-01-01,S003,P0005,325,330.92,0.20,Sunny,0,West,93.54,Winter
2022-01-01,S003,P0006,163,159.17,0.05,Rainy,1,North,71.38,Summer
2022-01-01,S003,P0007,34,26.91,0.15,Rainy,1,North,90.50,Summer
2022-01-01,S003,P0008,47,45.48,0.15,Cloudy,1,North,70.46,Spring
2022-01-01,S003,P0009,15,30.05,0.15,Snowy,1,South,73.93,Winter
2022-01-01,S003,P0010,126,141.34,0.05,Rainy,1,South,95.80,Summer
2022-01-01,S003,P0011,232,242.02,0.00,Snowy,1,East,57.85,Winter
2022-01-01,S003,P0012,175,176.75,0.20,Cloudy,0,North,89.52,Summer
2022-01-01,S003,P0013,17,12.86,0.20,Cloudy,1,North,76.65,Summer
2022-01-01,S003,P0014,369,387.88,0.05,Rainy,0,South,82.51,Spring
2022-01-01,S003,P0015,260,266.36,0.05,Snowy,0,West,23.28,Autumn
2022-01-01,S003,P0016,347,349.36,0.15,Rainy,0,South,99.58,Winter
2022-01-01,S003,P0017,150,157.82,0.05,Cloudy,1,East,27.40,Spring
2022-01-01,S003,P0018,70,83.01,0.15,Snowy,1,West,94.88,Winter
2022-01-01,S003,P0019,249,268.25,0.15,Cloudy,1,East,24.81,Summer
2022-01-01,S003,P0020,370,387.57,0.20,Cloudy,1,North,95.70,Spring
2022-01-01,S004,P0001,271,286.65,0.15,Sunny,0,South,16.09,Winter
2022-01-01,S004,P0002,180,176.06,0.05,Sunny,0,North,45.05,Autumn
2022-01-01,S004,P0003,344,352.93,0.20,Cloudy,0,West,93.00,Autumn
2022-01-01,S004,P0004,0,-2.40,0.10,Sunny,0,West,90.36,Spring
2022-01-01,S004,P0005,200,196.57,0.00,Snowy,1,North,85.22,Spring
2022-01-01,S004,P0006,382,396.40,0.10,Snowy,0,East,39.86,Summer
2022-01-01,S004,P0007,190,197.45,0.20,Cloudy,0,West,64.78,Summer
2022-01-01,S004,P0008,51,54.98,0.20,Snowy,1,South,86.14,Winter
2022-01-01,S004,P0009,40,51.78,0.10,Rainy,1,North,61.10,Summer
2022-01-01,S004,P0010,104,115.03,0.15,Cloudy,0,East,37.15,Summer
2022-01-01,S004,P0011,46,46.65,0.00,Sunny,1,West,57.76,Spring
2022-01-01,S004,P0012,9,0.95,0.05,Rainy,1,North,18.56,Spring
2022-01-01,S004,P0013,56,54.47,0.00,Sunny,0,East,63.92,Autumn
2022-01-01,S004,P0014,63,69.73,0.10,Snowy,1,West,68.47,Winter
2022-01-01,S004,P0015,181,171.96,0.05,Cloudy,0,South,65.27,Autumn
2022-01-01,S004,P0016,94,98.05,0.15,Rainy,0,South,96.74,Summer
2022-01-01,S004,P0017,46,55.12,0.00,Rainy,0,South,28.07,Winter
2022-01-01,S004,P0018,8,27.30,0.05,Cloudy,1,West,18.79,Spring
2022-01-01,S004,P0019,172,181.25,0.15,Rainy,1,West,73.85,Spring
2022-01-01,S004,P0020,68,86.27,0.20,Snowy,0,West,9.26,Winter
2022-01-01,S005,P0001,77,83.47,0.10,Cloudy,0,West,70.29,Winter
2022-01-01,S005,P0002,298,292.96,0.05,Snowy,1,West,60.71,Autumn
2022-01-01,S005,P0003,64,76.02,0.05,Sunny,0,North,40.93,Spring
2022-01-01,S005,P0004,300,292.04,0.15,Snowy,1,West,54.70,Spring
2022-01-01,S005,P0005,21,38.63,0.15,Rainy,1,West,96.30,Winter
2022-01-01,S005,P0006,176,174.06,0.20,Cloudy,0,North,61.15,Summer
2022-01-01,S005,P0007,131,122.60,0.15,Snowy,0,South,50.84,Summer
2022-01-01,S005,P0008,317,328.64,0.05,Snowy,1,West,30.44,Winter
2022-01-01,S005,P0009,97,92.62,0.05,Snowy,0,West,85.45,Spring
2022-01-01,S005,P0010,8,14.38,0.10,Rainy,1,East,36.87,Summer
2022-01-01,S005,P0011,104,94.65,0.10,Rainy,1,West,53.03,Summer
2022-01-01,S005,P0012,87,90.59,0.15,Sunny,0,West,63.53,Summer
2022-01-01,S005,P0013,238,256.57,0.05,Cloudy,0,South,87.09,Summer
2022-01-01,S005,P0014,171,188.55,0.20,Cloudy,1,South,42.01,Autumn
2022-01-01,S005,P0015,250,260.79,0.10,Cloudy,0,West,11.27,Spring
2022-01-01,S005,P0016,11,1.85,0.05,Sunny,0,South,17.98,Winter
2022-01-01,S005,P0017,371,390.04,0.15,Sunny,1,East,102.42,Spring
2022-01-01,S005,P0018,107,103.97,0.10,Snowy,1,West,50.03,Spring
2022-01-01,S005,P0019,106,119.33,0.05,Rainy,0,South,91.16,Spring
2022-01-01,S005,P0020,101,105.92,0.10,Snowy,1,South,9.14,Autumn
2022-01-02,S001,P0001,81,92.94,0.10,Cloudy,0,West,30.89,Spring
2022-01-02,S001,P0002,163,171.60,0.15,Cloudy,0,West,18.76,Spring
2022-01-02,S001,P0003,464,463.12,0.10,Snowy,0,South,72.93,Summer
2022-01-02,S001,P0004,116,133.92,0.05,Snowy,0,East,50.46,Summer
2022-01-02,S001,P0005,200,204.30,0.15,Sunny,1,East,19.19,Summer
2022-01-02,S001,P0006,58,51.57,0.00,Snowy,1,East,46.82,Summer
2022-01-02,S001,P0007,56,60.30,0.05,Snowy,1,North,17.00,Autumn
2022-01-02,S001,P0008,74,67.04,0.05,Cloudy,0,East,61.56,Autumn
2022-01-02,S001,P0009,54,70.60,0.20,Cloudy,0,South,95.61,Spring
2022-01-02,S001,P0010,39,47.80,0.05,Sunny,0,North,12.71,Summer
2022-01-02,S001,P0011,12,16.92,0.00,Cloudy,1,East,53.79,Spring
2022-01-02,S001,P0012,56,70.71,0.05,Snowy,1,East,60.99,Summer
2022-01-02,S001,P0013,31,44.46,0.15,Cloudy,1,North,31.06,Autumn
2022-01-02,S001,P0014,25,23.36,0.00,Cloudy,1,West,28.60,Spring
2022-01-02,S001,P0015,198,203.23,0.20,Cloudy,1,East,30.29,Winter
2022-01-02,S001,P0016,77,67.55,0.15,Snowy,0,West,38.02,Summer
2022-01-02,S001,P0017,165,181.86,0.05,Cloudy,0,West,27.50,Autumn
2022-01-02,S001,P0018,42,55.16,0.05,Snowy,0,North,69.67,Summer
2022-01-02,S001,P0019,8,24.41,0.05,Cloudy,1,South,87.43,Spring
2022-01-02,S001,P0020,174,187.49,0.00,Snowy,0,North,99.50,Autumn
2022-01-02,S002,P0001,343,339.04,0.20,Rainy,1,West,63.92,Summer
2022-01-02,S002,P0002,71,82.44,0.05,Rainy,0,West,86.73,Winter
2022-01-02,S002,P0003,157,153.42,0.05,Snowy,1,West,89.57,Autumn
2022-01-02,S002,P0004,88,100.61,0.00,Snowy,0,South,69.34,Spring
2022-01-02,S002,P0005,64,57.53,0.05,Cloudy,1,North,90.59,Spring
2022-01-02,S002,P0006,273,273.10,0.00,Rainy,0,East,77.28,Autumn
2022-01-02,S002,P0007,247,264.18,0.15,Snowy,0,North,13.57,Summer
2022-01-02,S002,P0008,42,46.32,0.15,Sunny,1,North,13.94,Spring
2022-01-02,S002,P0009,197,195.61,0.00,Sunny,0,North,28.86,Spring
2022-01-02,S002,P0010,374,387.41,0.15,Cloudy,1,West,32.00,Spring
2022-01-02,S002,P0011,154,169.13,0.00,Cloudy,0,East,86.30,Winter
2022-01-02,S002,P0012,236,239.09,0.20,Rainy,0,North,83.13,Autumn
2022-01-02,S002,P0013,278,279.91,0.10,Sunny,1,North,97.09,Summer
2022-01-02,S002,P0014,27,31.53,0.05,Rainy,0,West,89.47,Autumn
2022-01-02,S002,P0015,106,110.49,0.00,Cloudy,1,North,75.27,Winter
2022-01-02,S002,P0016,154,166.83,0.10,Sunny,0,West,67.23,Autumn
2022-01-02,S002,P0017,176,174.49,0.05,Rainy,1,West,41.40,Autumn
2022-01-02,S002,P0018,124,116.05,0.10,Sunny,0,East,21.71,Autumn
2022-01-02,S002,P0019,479,469.74,0.00,Cloudy,0,East,80.06,Winter
2022-01-02,S002,P0020,78,76.55,0.00,Sunny,1,South,65.40,Summer
2022-01-02,S003,P0001,114,132.41,0.10,Cloudy,0,West,72.55,Autumn
2022-01-02,S003,P0002,2,-3.40,0.00,Rainy,0,East,91.20,Autumn
2022-01-02,S003,P0003,7,22.80,0.20,Cloudy,1,East,87.38,Autumn
2022-01-02,S003,P0004,54,49.64,0.20,Snowy,0,West,85.85,Autumn
2022-01-02,S003,P0005,282,297.42,0.05,Cloudy,0,East,36.57,Winter
2022-01-02,S003,P0006,93,106.58,0.00,Cloudy,0,East,97.69,Winter
2022-01-02,S003,P0007,85,85.31,0.15,Cloudy,0,West,36.72,Autumn
2022-01-02,S003,P0008,136,130.52,0.05,Rainy,0,South,37.49,Spring
2022-01-02,S003,P0009,140,139.46,0.00,Snowy,1,West,91.53,Spring
2022-01-02,S003,P0010,79,94.23,0.10,Cloudy,1,West,21.42,Spring
2022-01-02,S003,P0011,106,117.65,0.10,Cloudy,1,South,58.10,Autumn
2022-01-02,S003,P0012,1,1.99,0.05,Snowy,1,West,31.78,Winter
2022-01-02,S003,P0013,203,206.35,0.05,Rainy,1,West,35.30,Autumn
2022-01-02,S003,P0014,368,384.47,0.00,Cloudy,0,North,70.84,Spring
2022-01-02,S003,P0015,286,283.25,0.20,Snowy,0,East,84.99,Winter
2022-01-02,S003,P0016,69,70.77,0.20,Rainy,0,South,91.05,Spring
2022-01-02,S003,P0017,52,65.67,0.20,Snowy,0,South,25.27,Summer
2022-01-02,S003,P0018,109,126.67,0.10,Rainy,1,East,82.59,Winter
2022-01-02,S003,P0019,50,44.37,0.10,Cloudy,0,North,54.98,Spring
2022-01-02,S003,P0020,0,9.42,0.10,Rainy,1,East,53.34,Summer
2022-01-02,S004,P0001,22,39.12,0.15,Rainy,0,North,69.74,Autumn
2022-01-02,S004,P0002,45,46.65,0.00,Sunny,1,East,62.40,Spring
2022-01-02,S004,P0003,89,87.77,0.00,Sunny,1,East,49.64,Spring
2022-01-02,S004,P0004,209,224.66,0.20,Snowy,0,East,90.10,Autumn
2022-01-02,S004,P0005,4,14.91,0.05,Sunny,0,West,59.42,Autumn
2022-01-02,S004,P0006,47,52.02,0.05,Cloudy,0,East,16.85,Autumn
2022-01-02,S004,P0007,115,124.22,0.10,Rainy,0,West,28.55,Spring
2022-01-02,S004,P0008,27,21.73,0.15,Snowy,0,South,102.70,Summer
2022-01-02,S004,P0009,90,103.60,0.20,Snowy,0,South,8.56,Autumn
2022-01-02,S004,P0010,206,214.99,0.15,Snowy,1,South,87.81,Autumn
2022-01-02,S004,P0011,328,339.54,0.20,Sunny,1,East,87.37,Spring
2022-01-02,S004,P0012,155,145.99,0.20,Sunny,0,South,38.71,Spring
2022-01-02,S004,P0013,184,191.55,0.10,Rainy,1,West,80.79,Spring
2022-01-02,S004,P0014,16,28.75,0.00,Cloudy,0,East,78.35,Autumn
2022-01-02,S004,P0015,90,98.56,0.10,Snowy,1,North,97.07,Summer
2022-01-02,S004,P0016,178,180.76,0.00,Sunny,0,West,61.32,Spring
2022-01-02,S004,P0017,256,254.89,0.20,Cloudy,0,South,93.35,Spring
2022-01-02,S004,P0018,27,25.51,0.00,Sunny,0,South,89.63,Spring
2022-01-02,S004,P0019,67,79.41,0.20,Rainy,1,North,57.55,Spring
2022-01-02,S004,P0020,84,77.15,0.15,Sunny,1,North,74.55,Autumn
2022-01-02,S005,P0001,67,74.80,0.05,Sunny,0,East,65.24,Winter
2022-01-02,S005,P0002,15,28.97,0.10,Sunny,1,West,65.16,Autumn
2022-01-02,S005,P0003,333,336.02,0.20,Rainy,1,West,84.97,Winter
2022-01-02,S005,P0004,56,54.08,0.10,Cloudy,1,North,64.88,Spring
2022-01-02,S005,P0005,165,172.41,0.20,Rainy,0,West,75.17,Autumn
2022-01-02,S005,P0006,54,49.32,0.15,Rainy,1,North,71.17,Summer
2022-01-02,S005,P0007,93,84.69,0.20,Snowy,0,East,71.37,Winter
2022-01-02,S005,P0008,250,254.75,0.15,Cloudy,0,East,61.05,Summer
2022-01-02,S005,P0009,90,99.63,0.10,Sunny,0,West,73.69,Winter
2022-01-02,S005,P0010,83,84.32,0.10,Sunny,1,West,47.02,Spring
2022-01-02,S005,P0011,16,23.98,0.05,Sunny,1,East,27.78,Winter
2022-01-02,S005,P0012,87,83.13,0.20,Rainy,0,West,33.87,Spring
2022-01-02,S005,P0013,241,235.03,0.05,Sunny,0,East,55.40,Spring
2022-01-02,S005,P0014,286,282.52,0.20,Snowy,1,South,13.12,Winter
2022-01-02,S005,P0015,60,52.77,0.00,Rainy,1,West,61.02,Autumn
2022-01-02,S005,P0016,437,432.86,0.15,Cloudy,1,East,39.13,Autumn
2022-01-02,S005,P0017,377,383.26,0.20,Sunny,1,North,84.29,Summer
2022-01-02,S005,P0018,83,78.67,0.15,Rainy,1,West,47.89,Spring
2022-01-02,S005,P0019,203,220.23,0.20,Snowy,0,West,75.86,Spring
2022-01-02,S005,P0020,183,190.11,0.10,Sunny,1,South,98.89,Spring
2022-01-03,S001,P0001,5,5.36,0.20,Rainy,0,West,58.22,Winter
2022-01-03,S001,P0002,199,193.26,0.00,Cloudy,0,East,52.91,Spring
2022-01-03,S001,P0003,176,168.28,0.10,Rainy,0,South,29.38,Winter
2022-01-03,S001,P0004,214,228.51,0.00,Cloudy,1,East,7.82,Winter
2022-01-03,S001,P0005,165,170.76,0.00,Sunny,0,West,91.29,Spring
2022-01-03,S001,P0006,9,13.60,0.05,Sunny,0,South,58.01,Summer
2022-01-03,S001,P0007,140,143.70,0.20,Sunny,0,South,91.90,Winter
2022-01-03,S001,P0008,177,178.00,0.05,Snowy,0,West,51.47,Autumn
2022-01-03,S001,P0009,217,217.69,0.20,Sunny,0,South,65.86,Winter
2022-01-03,S001,P0010,47,38.08,0.10,Snowy,0,West,102.66,Autumn
2022-01-03,S001,P0011,3,5.18,0.00,Cloudy,0,East,62.72,Autumn
2022-01-03,S001,P0012,2,9.81,0.15,Cloudy,0,East,83.11,Summer
2022-01-03,S001,P0013,18,20.50,0.10,Snowy,1,South,85.16,Summer
2022-01-03,S001,P0014,242,255.54,0.10,Rainy,1,South,30.10,Winter
2022-01-03,S001,P0015,228,246.91,0.10,Sunny,1,North,52.43,Summer
2022-01-03,S001,P0016,31,35.11,0.15,Snowy,1,East,94.15,Spring
2022-01-03,S001,P0017,16,33.51,0.05,Sunny,0,North,100.34,Spring
2022-01-03,S001,P0018,20,37.26,0.05,Rainy,0,East,75.48,Autumn
2022-01-03,S001,P0019,193,203.45,0.00,Sunny,1,South,54.20,Spring
2022-01-03,S001,P0020,118,110.02,0.20,Cloudy,1,North,37.56,Summer
2022-01-03,S002,P0001,96,100.82,0.00,Rainy,1,North,49.40,Autumn
2022-01-03,S002,P0002,48,55.45,0.15,Snowy,1,North,43.48,Summer
2022-01-03,S002,P0003,130,127.03,0.20,Cloudy,1,West,99.26,Winter
2022-01-03,S002,P0004,11,8.25,0.10,Snowy,1,North,28.61,Autumn
2022-01-03,S002,P0005,313,326.56,0.00,Snowy,1,West,31.67,Winter
2022-01-03,S002,P0006,352,365.82,0.05,Snowy,0,North,27.19,Summer
2022-01-03,S002,P0007,265,277.23,0.05,Rainy,0,South,55.83,Autumn
2022-01-03,S002,P0008,11,23.62,0.10,Cloudy,0,South,63.45,Summer
2022-01-03,S002,P0009,191,207.27,0.00,Cloudy,0,South,60.98,Summer
2022-01-03,S002,P0010,185,192.21,0.00,Rainy,1,West,91.76,Winter
2022-01-03,S002,P0011,143,154.26,0.20,Snowy,1,North,37.14,Autumn
2022-01-03,S002,P0012,85,104.48,0.10,Rainy,0,West,51.33,Spring
2022-01-03,S002,P0013,270,268.73,0.10,Cloudy,0,West,64.52,Summer
2022-01-03,S002,P0014,233,245.02,0.00,Rainy,1,West,23.30,Spring
2022-01-03,S002,P0015,187,177.80,0.00,Snowy,0,West,49.20,Spring
2022-01-03,S002,P0016,39,37.83,0.10,Rainy,0,South,76.17,Winter
2022-01-03,S002,P0017,234,231.16,0.10,Rainy,1,West,22.24,Autumn
2022-01-03,S002,P0018,213,208.31,0.20,Rainy,1,South,25.73,Autumn
2022-01-03,S002,P0019,55,71.88,0.15,Rainy,1,North,73.50,Winter
2022-01-03,S002,P0020,22,15.30,0.10,Sunny,0,South,47.01,Spring
2022-01-03,S003,P0001,100,100.66,0.10,Sunny,1,North,86.74,Autumn
2022-01-03,S003,P0002,353,355.08,0.00,Cloudy,1,North,17.32,Spring
2022-01-03,S003,P0003,255,246.78,0.20,Snowy,0,West,40.38,Autumn
2022-01-03,S003,P0004,154,166.81,0.15,Sunny,0,South,88.99,Autumn
2022-01-03,S003,P0005,147,154.97,0.00,Cloudy,1,East,61.06,Spring
2022-01-03,S003,P0006,342,357.52,0.10,Cloudy,0,North,94.29,Summer
2022-01-03,S003,P0007,54,48.62,0.00,Cloudy,0,West,97.62,Summer
2022-01-03,S003,P0008,289,292.21,0.15,Cloudy,0,East,36.90,Summer
2022-01-03,S003,P0009,179,198.59,0.00,Snowy,1,South,37.66,Winter
2022-01-03,S003,P0010,175,177.80,0.00,Rainy,1,South,96.19,Autumn
2022-01-03,S003,P0011,209,220.54,0.05,Sunny,0,West,89.06,Spring
2022-01-03,S003,P0012,109,113.33,0.20,Rainy,1,East,74.71,Summer
2022-01-03,S003,P0013,43,49.77,0.00,Rainy,1,South,47.75,Spring
2022-01-03,S003,P0014,58,49.31,0.10,Rainy,1,South,25.00,Autumn
2022-01-03,S003,P0015,399,390.10,0.00,Cloudy,1,South,60.34,Spring
2022-01-03,S003,P0016,95,111.30,0.20,Rainy,0,West,60.75,Winter
2022-01-03,S003,P0017,296,297.58,0.05,Snowy,0,West,77.55,Spring
2022-01-03,S003,P0018,105,104.66,0.10,Sunny,0,East,96.55,Winter
2022-01-03,S003,P0019,103,107.67,0.05,Cloudy,0,East,47.84,Autumn
2022-01-03,S003,P0020,131,123.65,0.15,Cloudy,0,South,19.59,Autumn
2022-01-03,S004,P0001,66,56.84,0.15,Sunny,0,East,79.90,Summer
2022-01-03,S004,P0002,163,161.48,0.00,Cloudy,1,West,77.66,Winter
2022-01-03,S004,P0003,98,98.87,0.10,Snowy,0,South,42.55,Spring
2022-01-03,S004,P0004,150,167.75,0.00,Rainy,1,East,62.30,Summer
2022-01-03,S004,P0005,15,21.91,0.20,Snowy,0,North,27.97,Winter
2022-01-03,S004,P0006,36,26.89,0.05,Cloudy,1,North,34.82,Autumn
2022-01-03,S004,P0007,303,307.70,0.15,Cloudy,1,East,15.64,Autumn
2022-01-03,S004,P0008,209,215.04,0.10,Rainy,1,East,65.17,Winter
2022-01-03,S004,P0009,69,68.51,0.20,Sunny,0,West,35.26,Winter
2022-01-03,S004,P0010,143,139.44,0.00,Snowy,0,West,21.84,Winter
2022-01-03,S004,P0011,239,255.26,0.05,Sunny,0,West,31.68,Winter
2022-01-03,S004,P0012,192,188.72,0.15,Cloudy,1,North,75.61,Autumn
2022-01-03,S004,P0013,23,38.86,0.20,Rainy,1,South,59.12,Autumn
2022-01-03,S004,P0014,165,160.46,0.00,Sunny,1,East,58.02,Winter
2022-01-03,S004,P0015,85,95.50,0.00,Rainy,0,South,77.00,Spring
2022-01-03,S004,P0016,79,86.62,0.10,Cloudy,0,East,18.35,Spring
2022-01-03,S004,P0017,33,43.64,0.15,Rainy,0,North,39.57,Spring
2022-01-03,S004,P0018,270,270.37,0.00,Snowy,0,South,46.83,Winter
2022-01-03,S004,P0019,1,-3.91,0.00,Snowy,0,North,76.90,Winter
2022-01-03,S004,P0020,149,161.20,0.20,Cloudy,0,East,97.42,Winter
2022-01-03,S005,P0001,3,18.12,0.00,Snowy,0,North,34.96,Winter
2022-01-03,S005,P0002,59,78.35,0.10,Sunny,1,North,84.13,Spring
2022-01-03,S005,P0003,15,25.13,0.20,Snowy,0,East,49.42,Summer
2022-01-03,S005,P0004,351,358.12,0.05,Cloudy,0,South,57.14,Spring
2022-01-03,S005,P0005,66,63.37,0.20,Sunny,1,North,60.81,Winter
2022-01-03,S005,P0006,62,59.04,0.10,Snowy,1,West,44.37,Autumn
2022-01-03,S005,P0007,77,95.69,0.05,Rainy,1,West,63.81,Winter
2022-01-03,S005,P0008,177,173.93,0.05,Snowy,1,South,95.17,Summer
2022-01-03,S005,P0009,349,350.47,0.10,Sunny,0,West,55.74,Winter
2022-01-03,S005,P0010,74,91.48,0.20,Sunny,1,North,11.25,Spring
2022-01-03,S005,P0011,40,43.92,0.00,Cloudy,1,North,69.67,Winter
2022-01-03,S005,P0012,72,68.01,0.20,Rainy,1,North,46.58,Winter
2022-01-03,S005,P0013,190,205.54,0.05,Snowy,0,South,19.33,Autumn
2022-01-03,S005,P0014,263,263.83,0.05,Sunny,1,North,23.72,Autumn
2022-01-03,S005,P0015,126,143.76,0.20,Cloudy,0,South,85.26,Autumn
2022-01-03,S005,P0016,17,25.61,0.05,Cloudy,1,North,76.56,Spring
2022-01-03,S005,P0017,19,37.45,0.10,Rainy,0,East,40.59,Spring
2022-01-03,S005,P0018,36,43.47,0.00,Snowy,1,North,35.98,Winter
2022-01-03,S005,P0019,207,198.44,0.20,Snowy,0,North,64.67,Autumn
2022-01-03,S005,P0020,91,99.88,0.05,Sunny,0,South,62.53,Summer
2022-01-04,S001,P0001,58,52.87,0.15,Cloudy,1,South,75.99,Winter
2022-01-04,S001,P0002,91,82.65,0.15,Sunny,1,North,87.44,Autumn
2022-01-04,S001,P0003,70,82.51,0.15,Cloudy,0,South,7.60,Winter
2022-01-04,S001,P0004,0,15.37,0.05,Sunny,1,North,45.53,Winter
2022-01-04,S001,P0005,32,45.57,0.10,Snowy,0,East,73.50,Spring
2022-01-04,S001,P0006,8,0.54,0.20,Cloudy,0,South,55.07,Spring
2022-01-04,S001,P0007,341,336.71,0.05,Cloudy,0,North,28.95,Spring
2022-01-04,S001,P0008,347,350.96,0.20,Sunny,0,East,58.46,Winter
2022-01-04,S001,P0009,15,26.72,0.10,Sunny,0,North,46.74,Summer
2022-01-04,S001,P0010,85,92.86,0.20,Rainy,0,East,98.87,Autumn
2022-01-04,S001,P0011,30,49.20,0.00,Sunny,0,South,25.48,Spring
2022-01-04,S001,P0012,136,140.64,0.05,Snowy,0,West,70.84,Winter
2022-01-04,S001,P0013,31,46.70,0.10,Sunny,0,North,33.73,Winter
2022-01-04,S001,P0014,7,22.66,0.15,Cloudy,1,East,95.38,Spring
2022-01-04,S001,P0015,377,371.89,0.10,Cloudy,1,West,88.66,Spring
2022-01-04,S001,P0016,28,33.20,0.10,Sunny,0,North,93.22,Summer
2022-01-04,S001,P0017,348,349.59,0.00,Cloudy,1,West,57.08,Autumn
2022-01-04,S001,P0018,258,258.58,0.05,Sunny,1,South,60.77,Summer
2022-01-04,S001,P0019,41,50.38,0.15,Sunny,1,West,61.73,Autumn
2022-01-04,S001,P0020,49,44.55,0.00,Snowy,1,North,10.76,Winter
2022-01-04,S002,P0001,83,85.50,0.05,Sunny,1,North,44.33,Spring
2022-01-04,S002,P0002,60,71.47,0.10,Cloudy,1,West,51.78,Summer
2022-01-04,S002,P0003,448,459.44,0.15,Rainy,0,North,44.02,Winter
2022-01-04,S002,P0004,11,26.96,0.00,Sunny,1,East,61.63,Summer
2022-01-04,S002,P0005,390,407.40,0.10,Snowy,0,East,23.55,Spring
2022-01-04,S002,P0006,81,88.67,0.00,Sunny,0,West,29.22,Summer
2022-01-04,S002,P0007,121,132.54,0.20,Cloudy,0,North,82.18,Spring
2022-01-04,S002,P0008,44,52.26,0.20,Rainy,0,West,56.99,Spring
2022-01-04,S002,P0009,88,104.13,0.15,Cloudy,0,East,47.77,Winter
2022-01-04,S002,P0010,142,138.75,0.15,Rainy,1,West,53.35,Autumn
2022-01-04,S002,P0011,48,48.65,0.20,Snowy,1,North,11.98,Summer
2022-01-04,S002,P0012,61,67.72,0.00,Cloudy,0,North,93.92,Winter
2022-01-04,S002,P0013,140,151.22,0.05,Sunny,0,East,17.47,Summer
